parent,definition,children,translation,label,label1,label2,label3
life jacket,life preserver consisting of a sleeveless jacket of buoyant or inflatable design,Mae West,,1.0,,,1.0
atomic clock,a timepiece that derives its time scale from the vibration of atoms or molecules,ammonia clock,,1.0,,,1.0
position,(in team sports) the role assigned to an individual player,"catcher,center,center,center field,cleanup,first base,forward,goalkeeper,guard,left field,mid-off,mid-on,pitcher,right field,second base,shortstop,third base",,1.0,,,1.0
tartaric acid,an acid found in many fruits; used in soft drinks and confectionery and baking powder,racemic acid,,1.0,,,1.0
Finnish monetary unit,monetary unit in Finland,"markka,penni",,1.0,,,1.0
infantry,an army unit consisting of soldiers who fight on foot,paratroops,,1.0,,,1.0
open-end wrench,a wrench having parallel jaws at fixed separation (often on both ends of the handle),S wrench,,1.0,,,1.0
appellate court,a court whose jurisdiction is to review decisions of lower courts or agencies,circuit court of appeals,,1.0,,,1.0
quarter day,a Christian holy day; one of four specified days when certain payments are due,"Martinmas,Annunciation,Lammas,Candlemas",,1.0,,,1.0
romance,a novel dealing with idealized events remote from everyday life,"bodice ripper,Gothic romance",,1.0,,,1.0
treasurer,an officer charged with receiving and disbursing funds,"bursar,chamberlain,state treasurer",,1.0,,,1.0
aircraft landing,-,forced landing,,1.0,,,1.0
support,a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission,close support,,1.0,,,1.0
Greek deity,-,Grace,,1.0,,,1.0
Chemakuan,a group of Mosan languages spoken in Washington,Chemakum,,1.0,,,1.0
radioisotope,a radioactive isotope of an element; produced either naturally or artificially,"label,tracer",,1.0,,,1.0
tetrapod,a vertebrate animal having four feet or legs or leglike appendages,quadruped,,1.0,,,1.0
commissioned naval officer,-,flag officer,,1.0,,,1.0
crocodile,large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters,African crocodile,,1.0,,,1.0
rosewood,any of those hardwood trees of the genus Dalbergia that yield rosewood--valuable cabinet woods of a dark red or purplish color streaked and variegated with black,Brazilian rosewood,,1.0,,,1.0
comity,a state or atmosphere of harmony or mutual civility and respect,comity of nations,,1.0,,,1.0
aldol,an oily colorless liquid obtained by the condensation of two molecules of acetaldehyde; contains an alcohol group (-OH) and an aldehyde group (-CHO),acetaldol,,1.0,,,1.0
witch hazel,any of several shrubs or trees of the genus Hamamelis; bark yields an astringent lotion,vernal witch hazel,,1.0,,,1.0
thrombocytopenia,a blood disease characterized by an abnormally small number of platelets in the blood,essential thrombocytopenia,,1.0,,,1.0
self-pollination,fertilization by transfer of pollen from the anthers to the stigma of the same flower,cleistogamy,,1.0,,,1.0
complement fixation test,a blood test in which a sample of serum is exposed to a particular antigen and complement in order to determine whether or not antibodies to that particular antigen are present; used as a diagnostic test,Wassermann test,,1.0,,,1.0
philosophical doctrine,a doctrine accepted by adherents to a philosophy,"aesthetic,Aristotelianism,conceptualism,Confucianism,Taoism,deconstruction,environmentalism,existentialism,formalism,hereditarianism,idealism,intuitionism,logicism,mechanism,mentalism,realism,nativism,naturalism,Neoplatonism,nominalism,operationalism,Platonism,probabilism,rationalism,relativism,Scholasticism,semiotics,sensualism,solipsism,Stoicism,subjectivism,teleology,traditionalism,vitalism",,1.0,,,1.0
flywheel,regulator consisting of a heavy wheel that stores kinetic energy and smooths the operation of a reciprocating engine,fluid flywheel,,1.0,,,1.0
religious doctrine,the written body of teachings of a religious group that are generally accepted by that group,"ahimsa,confession,ecumenism,Immaculate Conception,Incarnation,Nicene Creed,original sin,real presence",,1.0,,,1.0
wheatgrass,a grass of the genus Agropyron,"crested wheatgrass,intermediate wheatgrass,slender wheatgrass",,1.0,,,1.0
mansard,a hip roof having two slopes on each side,French roof,,1.0,,,1.0
endomorph,a heavy person with a soft and rounded body,pudge,,1.0,,,1.0
ragweed,any of numerous chiefly North American weedy plants constituting the genus Ambrosia that produce highly allergenic pollen responsible for much hay fever and asthma,"common ragweed,western ragweed,great ragweed",,1.0,,,1.0
scad,any of a number of fishes of the family Carangidae,"bigeye scad,round scad,mackerel scad,horse mackerel,horse mackerel",,1.0,,,1.0
"adjective,adverb",a word that expresses an attribute of something,comparative,,1.0,,,1.0
"hydroxide,lye",a compound of an oxide with water,sodium hydroxide,,1.0,,,1.0
fungus order,the order of fungi,"Agaricales,Aphyllophorales,Eurotiales,Auriculariales,Blastocladiales,Chytridiales,Endomycetales,Entomophthorales,Erysiphales,Helotiales,Hymenogastrales,Hypocreales,Lechanorales,Lichenales,Lycoperdales,Moniliales,Mucorales,Mycelia Sterilia,Nidulariales,Peronosporales,Pezizales,Saprolegniales,Sclerodermatales,Secotiales,Sphaeriales,Tremellales,Tuberales,Tulostomatales,Uredinales,Ustilaginales",,1.0,,,1.0
ambystomid,small to moderate-sized terrestrial or semiaquatic New World salamander,"spotted salamander,axolotl,mole salamander,tiger salamander,waterdog",,1.0,,,1.0
field mouse,any nocturnal Old World mouse of the genus Apodemus inhabiting woods and fields and gardens,European wood mouse,,1.0,,,1.0
disposition,your usual mood,"animalism,blood,bloodiness,epicurism,esprit de corps,gourmandism,heart,moodiness,optimism,perfectionism,pessimism",,1.0,,,1.0
polypody,any of numerous ferns of the genus Polypodium,"common polypody,rock polypody",,1.0,,,1.0
sulfate,-,magnesium sulfate,,1.0,,,1.0
administration,a method of tending to or managing the affairs of a some group of people (especially the group's business affairs),"conducting,line management,polity",,1.0,,,1.0
fence lizard,spiny lizard often seen basking on fences in the United States and northern Mexico,"western fence lizard,eastern fence lizard",,1.0,,,1.0
polymorphism,(biology) the existence of two or more forms of individuals within the same animal species (independent of sex differences),dimorphism,,1.0,,,1.0
aromatic hydrocarbon,a hydrocarbon that contains one or more benzene rings that are characteristic of the benzene series of organic compounds,benzene,,1.0,,,1.0
tanager,any of numerous New World woodland birds having brightly colored males,"scarlet tanager,hepatic tanager,western tanager,summer tanager",,1.0,,,1.0
gastric artery,the arteries that supply the walls of the stomach,short gastric artery,,1.0,,,1.0
assistant,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,"dresser,bat boy,labor coach,instrument,right-hand man,coadjutor,dental assistant,hatchet man,event planner,facilitator,flower girl,girl Friday,powder monkey,prompter,sidesman,underboss,water boy,whipper-in",,1.0,,,1.0
vanilla,any of numerous climbing plants of the genus Vanilla having fleshy leaves and clusters of large waxy highly fragrant white or green or topaz flowers,vanilla orchid,,1.0,,,1.0
aldehyde,any of a class of highly reactive chemical compounds; used in making resins and dyes and organic acids,"acetaldehyde,propenal,paraldehyde,formaldehyde,furfural,glyceraldehyde,propanal",,1.0,,,1.0
tarsier,nocturnal arboreal primate of Indonesia and the Philippines having huge eyes and digits ending in pads to facilitate climbing; the only primate that spurns all plant material as food living entirely on insects and small vertebrates,"Tarsius glis,Tarsius syrichta",,1.0,,,1.0
sedge,-,spike rush,,1.0,,,1.0
support,a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission,close support,,1.0,,,1.0
translation,a written communication in a second language having the same meaning as the written communication in a first language,"subtitle,pony",,1.0,,,1.0
generalization,(psychology) transfer of a response learned to one stimulus to a similar stimulus,irradiation,,1.0,,,1.0
"ketone body,hydroxybutyric acid","a ketone that is an intermediate product of the breakdown of fats in the body; any of three compounds (acetoacetic acid, acetone, and/or beta-hydroxybutyric acid) found in excess in blood and urine of persons with metabolic disorders",beta-hydroxybutyric acid,,1.0,,,1.0
proper fraction,a fraction with a numerator smaller than the denominator,decimal fraction,,1.0,,,1.0
vespertilian bat,-,long-eared bat,,1.0,,,1.0
pewee,small olive-colored woodland flycatchers of eastern North America,western wood pewee,,1.0,,,1.0
insulin,hormone secreted by the isles of Langerhans in the pancreas; regulates storage of glycogen in the liver and accelerates oxidation of sugar in cells,"recombinant human insulin,Lente Insulin",,1.0,,,1.0
Saxon,a member of a Germanic people who conquered England and merged with the Angles and Jutes to become Anglo-Saxons; dominant in England until the Norman Conquest,West Saxon,,1.0,,,1.0
"coagulation factor,calcium",any of the factors in the blood whose actions are essential for blood coagulation,calcium ion,,1.0,,,1.0
partial veil,membrane of the young sporophore of various mushrooms extending from the margin of the cap to the stem and is ruptured by growth; represented in mature mushroom by an annulus around the stem and sometimes a cortina on the margin of the cap,cortina,,1.0,,,1.0
pocket rat,-,pocket mouse,,1.0,,,1.0
"land,biome",the solid part of the earth's surface,forest,,1.0,,,1.0
moment,a turning force produced by an object acting at a distance (or a measure of that force),"moment of a couple,moment of inertia",,1.0,,,1.0
heteropterous insect,-,water bug,,1.0,,,1.0
electrolyte,a solution that conducts electricity,polyelectrolyte,,1.0,,,1.0
Moroccan monetary unit,monetary unit in Morocco,Moroccan dirham,,1.0,,,1.0
radial asymmetry,the absence of symmetry about an axis,directivity,,1.0,,,1.0
test rocket,a rocket fired for test purposes,sounding rocket,,1.0,,,1.0
minor tranquilizer,-,benzodiazepine,,1.0,,,1.0
anatomist,an expert in anatomy,"comparative anatomist,histologist,osteologist",,1.0,,,1.0
Aramaic,a Semitic language originally of the ancient Arameans but still spoken by other people in southwestern Asia,Assyrian Neo-Aramaic,,1.0,,,1.0
punctuation,the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases,hyphenation,,1.0,,,1.0
dress uniform,a military uniform worn on formal occasions,dress blues,,1.0,,,1.0
church officer,-,elder,,1.0,,,1.0
cross-fertilization,fertilization by the union of male and female gametes from different individual of the same species,allogamy,,1.0,,,1.0
generalization,(psychology) transfer of a response learned to one stimulus to a similar stimulus,irradiation,,1.0,,,1.0
array,especially fine or decorative clothing,war paint,,1.0,,,1.0
seamount,an underwater mountain rising above the ocean floor,guyot,,1.0,,,1.0
visual impairment,-,scotoma,,1.0,,,1.0
compromise verdict,a verdict resulting from improper compromises between jurors on material issues,quotient verdict,,1.0,,,1.0
butter,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,"brown butter,Meuniere butter,stick,yak butter",,1.0,,,1.0
print,a picture or design printed from an engraving,"contact print,copperplate,gravure,linocut,mezzotint,overprint,silkscreen",,1.0,,,1.0
pericarp,-,stone,,1.0,,,1.0
catalyst,(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected,"biocatalyst,platinum black",,1.0,,,1.0
rocking chair,a chair mounted on rockers,"Boston rocker,platform rocker,shoofly",,1.0,,,1.0
turning,a movement in a new direction,"return,reversal,yaw,volution",,1.0,,,1.0
layer,thin structure composed of a single thickness of cells,blastoderm,,1.0,,,1.0
flywheel,regulator consisting of a heavy wheel that stores kinetic energy and smooths the operation of a reciprocating engine,fluid flywheel,,1.0,,,1.0
crane,large long-necked wading bird of marshes and plains in many parts of the world,whooping crane,,1.0,,,1.0
bulge,something that bulges out or is protuberant or projects from its surroundings,"belly,caput,frontal eminence,mogul",,1.0,,,1.0
contraction,(physiology) a shortening or tensing of a part or organ (especially of a muscle or muscle fiber),"Braxton-Hicks contraction,contracture",,1.0,,,1.0
owl,-,scops owl,,1.0,,,1.0
endocarditis,inflammation of the endocardium and heart valves,subacute bacterial endocarditis,,1.0,,,1.0
reversion,"(law) an interest in an estate that reverts to the grantor (or his heirs) at the end of some period (e.g., the death of the grantee)",escheat,,1.0,,,1.0
"adjective,adverb",a word that expresses an attribute of something,positive,,1.0,,,1.0
Old World jay,a European jay,common European jay,,1.0,,,1.0
Volgaic,a group of Finnic languages spoken around the Volga river,Cheremis,,1.0,,,1.0
sanction,formal and explicit approval,nihil obstat,,1.0,,,1.0
monstera,any plant of the genus Monstera; often grown as houseplants,ceriman,,1.0,,,1.0
claret,dry red Bordeaux or Bordeaux-like wine,Saint Emilion,,1.0,,,1.0
scale insect,-,soft scale,,1.0,,,1.0
"aldehyde,plant product",any of a class of highly reactive chemical compounds; used in making resins and dyes and organic acids,furfural,,1.0,,,1.0
caladium,any plant of the genus Caladium cultivated for their ornamental foliage variously patterned in white or pink or red,Caladium bicolor,,1.0,,,1.0
filter,an electrical device that alters the frequency spectrum of signals passing through it,"high-pass filter,low-pass filter",,1.0,,,1.0
aortitis,inflammation of the aorta,rheumatic aortitis,,1.0,,,1.0
thrombosis,the formation or presence of a thrombus (a clot of coagulated blood attached at the site of its formation) in a blood vessel,"milk leg,phlebothrombosis",,1.0,,,1.0
heterocyclic compound,a compound containing a heterocyclic ring,chelate,,1.0,,,1.0
tumor,-,malignant tumor,,1.0,,,1.0
cognitive psychology,an approach to psychology that emphasizes internal mental processes,memory,,1.0,,,1.0
stew,food prepared by stewing especially meat or fish with vegetables,"beef stew,bigos,Brunswick stew,burgoo,purloo,hot pot,hotchpotch,mulligan stew,Irish stew,lobscouse,lobster stew,olla podrida,oyster stew,pot-au-feu,pottage,ratatouille,slumgullion",,1.0,,,1.0
swan,-,tundra swan,,1.0,,,1.0
mooring,(nautical) a line that holds an object (especially a boat) in place,headfast,,1.0,,,1.0
jungle fowl,small Asiatic wild bird; believed to be ancestral to domestic fowl,red jungle fowl,,1.0,,,1.0
miterwort,any of various rhizomatous perennial herbs of the genus Mitella having a capsule resembling a bishop's miter,fairy cup,,1.0,,,1.0
malaria,an infective disease caused by sporozoan parasites that are transmitted through the bite of an infected Anopheles mosquito; marked by paroxysms of chills and fever,"blackwater fever,jungle fever",,1.0,,,1.0
parturiency,concluding state of pregnancy; from the onset of contractions to the birth of a child,premature labor,,1.0,,,1.0
nucleoside reverse transcriptase inhibitor,an antiviral drug used against HIV; is incorporated into the DNA of the virus and stops the building process; results in incomplete DNA that cannot create a new virus; often used in combination with other drugs,lamivudine,,1.0,,,1.0
plane,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood,"beading plane,block plane,bullnose,chamfer plane,circular plane,combination plane,dovetail plane,fore plane,jack plane,jointer,match plane,router plane,scrub plane,smooth plane,spokeshave",,1.0,,,1.0
dyskinesia,abnormality in performing voluntary muscle movements,tardive dyskinesia,,1.0,,,1.0
degree,a unit of temperature on a specified scale,degree Fahrenheit,,1.0,,,1.0
gadoid,-,hake,,1.0,,,1.0
candida,any of the yeastlike imperfect fungi of the genus Candida,Candida albicans,,1.0,,,1.0
respiratory disease,-,pneumonia,,1.0,,,1.0
eagle,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,"bald eagle,tawny eagle,eaglet,harpy",,1.0,,,1.0
biomedicine,the branch of medical science that studies the ability of organisms to withstand environmental stress (as in space travel),aeromedicine,,1.0,,,1.0
creditor,a person to whom money is owed by a debtor; someone to whom an obligation exists,mortgagee,,1.0,,,1.0
world power,a state powerful enough to influence events throughout the world,hegemon,,1.0,,,1.0
white magic,magic used only for good purposes,theurgy,,1.0,,,1.0
diffraction grating,optical device consisting of a surface with many parallel grooves in it; disperses a beam of light (or other electromagnetic radiation) into its wavelengths to produce its spectrum,echelon,,1.0,,,1.0
ballet position,classical position of the body and especially the feet in ballet,arabesque,,1.0,,,1.0
cracking,the process whereby heavy molecules of naphtha or petroleum are broken down into hydrocarbons of lower molecular weight (especially in the oil-refining process),hydrocracking,,1.0,,,1.0
mystic,someone who believes in the existence of realities beyond human comprehension,quietist,,1.0,,,1.0
synthetic resin,-,vinyl polymer,,1.0,,,1.0
holocephalan,fish with high compressed head and a body tapering off into a long tail,chimaera,,1.0,,,1.0
viral infection,-,hemorrhagic fever,,1.0,,,1.0
congestion,excessive accumulation of blood or other fluid in a body part,"hemothorax,hydrothorax,pulmonary congestion,stuffiness",,1.0,,,1.0
asterid dicot family,family of more or less advanced dicotyledonous herbs and some trees and shrubs,"Acanthaceae,Ambrosiaceae,Compositae,Avicenniaceae,Caprifoliaceae,Dipsacaceae,Gesneriaceae,Hydrophyllaceae,Polemoniaceae,Rubiaceae,Scrophulariaceae,Solanaceae,Valerianaceae,Verbenaceae",,1.0,,,1.0
hydrometer,a measuring instrument for determining the specific gravity of a liquid or solid,salinometer,,1.0,,,1.0
principle,a rule or law concerning a natural phenomenon or the function of a complex system,"Gresham's Law,principle of superposition,Occam's Razor,Le Chatelier's principle,mass-action principle,mass-energy equivalence,Naegele's rule,principle of equivalence,principle of liquid displacement,principle of superposition",,1.0,,,1.0
pipit,a songbird that lives mainly on the ground in open country; has streaky brown plumage,meadow pipit,,1.0,,,1.0
family,an association of people who share common beliefs or activities,koinonia,,1.0,,,1.0
pustule,a small inflamed elevation of skin containing pus; a blister filled with pus,pock,,1.0,,,1.0
candida,any of the yeastlike imperfect fungi of the genus Candida,Candida albicans,,1.0,,,1.0
pliers,a gripping hand tool with two hinged arms and (usually) serrated jaws,"locking pliers,needlenose pliers",,1.0,,,1.0
calyculus,a small cup-shaped structure (as a taste bud or optic cup or cavity of a coral containing a polyp),optic cup,,1.0,,,1.0
antihypertensive,-,ACE inhibitor,,1.0,,,1.0
conductance unit,a measure of a material's ability to conduct an electrical charge,mho,,1.0,,,1.0
woodpecker,-,sapsucker,,1.0,,,1.0
enzyme,any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions,"adenosine deaminase,penicillinase,catalase,cholinesterase,rennin,collagenase,complement,de-iodinase,decarboxylase,elastase,enterokinase,histaminase,hyaluronidase,isomerase,kinase,lipase,lysozyme,monoamine oxidase,nitrogenase,papain,pepsin,pepsinogen,phosphatase,secretase,superoxide dismutase,streptodornase,streptokinase,telomerase,urease,zymase",,1.0,,,1.0
plastic surgery,-,lipectomy,,1.0,,,1.0
radiance,the amount of electromagnetic radiation leaving or arriving at a point on a surface,aureole,,1.0,,,1.0
denudation,the removal of covering,"cornhusking,deforestation",,1.0,,,1.0
explosion,a violent release of energy caused by a chemical or nuclear reaction,"airburst,backfire,big bang,fragmentation,inflation",,1.0,,,1.0
nut tree,-,wing nut,Барашковая гайка,1.0,1.0,,
index,a numerical scale used to compare variables with one another or with some reference number,margin of safety,ПРОЧНАЯ ПРИБЫЛЬ ,1.0,1.0,,
vertebrate paleontology,the paleontology of vertebrates,paleoanthropology,палеоантропология,1.0,1.0,,
bleach,the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent),etiolation,DEETIOLIROVANIE,1.0,1.0,,
motion-picture film,photographic film several hundred feet long and wound on a spool; to be used in a movie camera,sound film,Звуковое кино,1.0,1.0,,
sandpiper,-,yellowlegs,желтоножки,1.0,1.0,,
shard,a broken piece of a brittle artifact,potsherd,керамический череп,1.0,1.0,,
bird's foot,the foot of a bird,"claw,heterodactyl foot","коготь,гетеродактильная стопа",1.0,1.0,,
literary composition,-,poem,стихотворение,0.0,0.0,,
field,(computer science) a set of one or more adjacent characters comprising a unit of information,bit field,битовое поле,1.0,1.0,,
scorpaenid,-,scorpionfish,скорпена,1.0,1.0,,
sexual activity,-,promiscuity,РАСПУТСТВО,0.0,0.0,,
cocktail,a short mixed drink,"bullshot,gimlet,gin and it,grasshopper,Harvey Wallbanger,margarita,old fashioned,pink lady,planter's punch,Sazerac,screwdriver,sidecar,stinger,White Russian","bullshot,gimlet,gin and it,grasshopper,Harvey Wallbanger,margarita,old fashioned,pink lady, plantter 's punch,Sazerac,screwdriver,sidecar,stinger,White Russian",1.0,1.0,,
dress,-,gown,халат,0.0,0.0,,
weight,the vertical force exerted by a mass as a result of gravity,"dead weight,poundage,tare,throw-weight","собственный вес, фунт,тара,забрасываемый вес",1.0,1.0,,
policeman,-,traffic cop,дорожный полицейский,0.0,0.0,,
complement fixation test,a blood test in which a sample of serum is exposed to a particular antigen and complement in order to determine whether or not antibodies to that particular antigen are present; used as a diagnostic test,Wassermann test,Реакция Вассермана,1.0,1.0,,
crackle,the sharp sound of snapping noises,decrepitation,дряблость,1.0,1.0,,
Atlantic salmon,found in northern coastal Atlantic waters or tributaries; adults do not die after spawning,landlocked salmon,не имеющий выхода к морю лосось,1.0,1.0,,
printer,(computer science) an output device that prints the results of data processing,dot matrix printer,матричный принтер,1.0,1.0,,
respiratory tract,the passages through which air enters and leaves the body,lower respiratory tract,Нижние дыхательные пути,1.0,1.0,,
artistic style,-,order,сортировать,1.0,1.0,,
"philosophical doctrine,theological doctrine",a doctrine accepted by adherents to a philosophy,Neoplatonism,Неоплатонизм,1.0,1.0,,
dogbane,any of several poisonous perennial plants of the genus Apocynum having acrid milky juice and bell-shaped white or pink flowers and a very bitter root,"common dogbane,Indian hemp,Rocky Mountain dogbane","обыкновенный догбейн,индийская конопля,догбейн Скалистых гор",1.0,1.0,,
"acid,B-complex vitamin",any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt,pantothenic acid,PANTOTENOVAIA KISLOTA,1.0,1.0,,
pipit,a songbird that lives mainly on the ground in open country; has streaky brown plumage,meadow pipit,луговая труба,1.0,1.0,,
span,the complete duration of something,attention span,Объем внимания,1.0,1.0,,
"pesticide,gas",a chemical used to kill pests (as rodents or insects),phosphine,фосфин,1.0,1.0,,
deal,the type of treatment received (especially as the result of an agreement),fair deal,честная сделка,0.0,0.0,,
current,a flow of electricity through a conductor,juice,сок,1.0,1.0,,
die,a device used for shaping metal,stamp,ярлык,1.0,1.0,,
tightening,the act of making something tighter,take-up,ПРИЕМНОЕ УСТРОЙСТВО,0.0,0.0,,
open-end wrench,a wrench having parallel jaws at fixed separation (often on both ends of the handle),S wrench,S-образный ключ,1.0,1.0,,
football play,-,run,бегу,0.0,0.0,,
articulation,the shape or manner in which things come together and a connection is made,esophagogastric junction,PISHCHEVODNO-ZHELUDOCHNOE SOEDINENIE,1.0,1.0,,
fur seal,an eared seal of the northern Pacific,Alaska fur seal,Морской котик Аляски,1.0,1.0,,
news agency,an agency to collects news reports for newspapers and distributes it electronically,syndicate,синдикат; консорциум,1.0,1.0,,
masochist,someone who obtains pleasure from receiving punishment,flagellant,Флагелланты,1.0,1.0,,
heterocyclic compound,a compound containing a heterocyclic ring,chelate,Хелаты,1.0,1.0,,
mycobacteria,rod-shaped bacteria some saprophytic or causing diseases,leprosy bacillus,LEPRY MIKOBAKTERII,1.0,1.0,,
time signature,a musical notation indicating the number of beats to a measure and kind of note that takes a beat,alla breve,alla breve,1.0,1.0,,
pipet,measuring instrument consisting of a graduated glass tube used to measure or transfer precise volumes of a liquid by drawing the liquid up into the tube,dropper,пипетка,1.0,1.0,,
Indian monetary unit,monetary unit in India,anna,anna,1.0,1.0,,
unwelcome person,-,villain,злодей,0.0,0.0,,
masochist,someone who obtains pleasure from receiving punishment,flagellant,Флагелланты,1.0,1.0,,
acceptability,-,admissibility,Приемлемость,0.0,0.0,,
pack animal,an animal (such as a mule or burro or horse) used to carry loads,packhorse,пакхорс,1.0,1.0,,
rejoinder,a quick reply to a question or remark (especially a witty or critical one),sass,Sass,1.0,1.0,,
dormer window,the window in a gabled extension built to accommodate a window,oxeye,бычий глаз,1.0,1.0,,
transcendental number,an irrational number that is not algebraic,"e,pi","e,pi",1.0,1.0,,
rock,material consisting of the aggregate of minerals like those making up the Earth's crust,"aphanite,tufa,caliche,claystone,pudding stone,dolomite,emery stone,fieldstone,greisen,magma,matrix,pumice,quartzite,road metal,shingling,sial,sima","афанит,туф,калиш,глиняный камень,пудинг,доломит,наждачный камень,полевой камень,грайзен,магма,матрица,пемза,кварцит,дорожный металл,черепица,сиал,сима",1.0,1.0,,
convenience food,-,ready-mix,Готовая смесь,0.0,0.0,,
electronic instrument,a musical instrument that generates sounds electronically,"electric organ,theremin","электрический орган,терменвокс",1.0,1.0,,
myeloma,a tumor of the bone marrow (usually malignant) composed of cells normally found in bone marrow,multiple myeloma,BOLEZN&apos; RUSTITSKOGO-KALERA,1.0,1.0,,
bison,any of several large humped bovids having shaggy manes and large heads and short horns,"American bison,wisent","Американский бизон,мудрый",1.0,1.0,,
sister,a female person who is a fellow member of a sorority or labor union or other group,Beguine,Бегин,1.0,1.0,,
fruit bat,large Old World bat of warm and tropical regions that feeds on fruit,"Cynopterus sphinx,flying fox,harpy,Pteropus capestratus,Pteropus hypomelanus","Яванский сфинкс,летучая лисица,гарпия,Pteropus capestratus,Pteropus hypomelanus",1.0,1.0,,
crash,the act of colliding with something,impingement,имприджмент,0.0,0.0,,
death camas,any of various plants of the genus Zigadenus having glaucous leaves and terminal racemes of mostly white flowers; all are poisonous,"alkali grass,grassy death camas","щелочная трава,травянистые камеры смерти",1.0,1.0,,
silver,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,coin silver,монета серебро,0.0,0.0,,
biomedicine,the branch of medical science that studies the ability of organisms to withstand environmental stress (as in space travel),aeromedicine,аэромедицина,1.0,1.0,,
dry-wood termite,any of various termites that live in and feed on dry wood that is not connected with the soil,powder-post termite,порошково-постовый термитный,1.0,1.0,,
family,an association of people who share common beliefs or activities,koinonia,koinonia,1.0,1.0,,
gamble,money that is risked for possible monetary gain,stake,пакет акций; интерес; доля; пай; долевое участие (в капитале),1.0,1.0,,
understanding,-,insight,информация,0.0,0.0,,
medical practitioner,-,medical officer,Медицинский сотрудник,0.0,0.0,,
farmhand,a hired hand on a farm,"dairymaid,dairyman,farmerette,gleaner,picker,plowman,waterer,weeder","молочница,молочник,фермеретт,сборщик,сборщик,пахарь,поливальщик,сорняк",1.0,1.0,,
oppression,a feeling of being oppressed,weight,Масса,0.0,0.0,,
loan,-,personal loan,"кредит физическому лицу (обычно без обеспечения); кредит без обеспечения (""под честное слово"")",0.0,0.0,,
favor,an act of gracious kindness,turn,повернуть,0.0,0.0,,
span,the complete duration of something,attention span,Объем внимания,1.0,1.0,,
clothing,a covering designed to be worn on a person's body,"beachwear,black,blue,change,drag,togs,grey,knitwear,leisure wear,ready-to-wear,slip-on,slops,street clothes,tailor-made,vestiture","пляжная одежда,черный,синий, перетаскивание, тоги, серый, трикотаж,одежда для отдыха, готовая одежда,слипоны, шлепанцы,уличная одежда, по индивидуальному заказу,одежда",0.0,0.0,,
Saxon,a member of a Germanic people who conquered England and merged with the Angles and Jutes to become Anglo-Saxons; dominant in England until the Norman Conquest,West Saxon,Западно-саксонская кухня,1.0,1.0,,
aggressiveness,the quality of being bold and enterprising,"competitiveness,intrusiveness","конкурентоспособность,навязчивость",0.0,0.0,,
mix,a commercially prepared mixture of dry ingredients,self-rising flour,самовосходящая мука,1.0,1.0,,
golf stroke,-,approach,подхода,1.0,1.0,,
entreaty,-,solicitation,Проведение тендера.,1.0,1.0,,
sensualist,-,wanton,Вонтоны,0.0,0.0,,
chamois,a soft suede leather formerly from the skin of the chamois antelope but now from sheepskin,wash leather,выстирать кожу,1.0,1.0,,
collection,a publication containing a variety of works,"archives,compilation","архивы,компиляция",0.0,0.0,,
stinger,a sharp organ of offense or defense (as of a wasp or stingray or scorpion) often connected with a poison gland,aculeus,aculeus,1.0,1.0,,
pistol,-,semiautomatic pistol,Semiautomatic pistol. ,1.0,1.0,,
ballet position,classical position of the body and especially the feet in ballet,arabesque,ARABESQUE,1.0,1.0,,
hearing,a session (of a committee or grand jury) in which witnesses are called and testimony is taken,confirmation hearing,Слушание по утверждению.,1.0,1.0,,
childhood,the time of person's life when they are a child,"boyhood,girlhood","юность,девичество",0.0,0.0,,
punch,a tool for making holes or indentations,center punch,Кернер,1.0,1.0,,
band,a range of frequencies between two limits,frequency band,диапазон частот,1.0,1.0,,
jawless vertebrate,-,lamprey,MINOGI,1.0,1.0,,
window shade,an opaque window blind that can cover or uncover a window,roller blind,Жалюзи,0.0,0.0,,
rival,-,foe,Враг,0.0,0.0,,
coach,(sports) someone in charge of training an athlete or a team,"basketball coach,conditioner,hockey coach,tennis coach","тренер по баскетболу,кондиционер, тренер по хоккею, тренер по теннису",0.0,0.0,,
pillar,a fundamental principle or practice,pillar of Islam,столп ислама,1.0,1.0,,
rondeau,a French verse form of 10 or 13 lines running on two rhymes; the opening phrase is repeated as the refrain of the second and third stanzas,rondelet,rondelet,1.0,1.0,,
greeting,-,welcome,желанным гостем,0.0,0.0,,
copper,any of various small butterflies of the family Lycaenidae having coppery wings,American copper,Американская медь,1.0,1.0,,
edge tool,-,razor,бритва,0.0,0.0,,
